Fire_Year,Total_Acres_Burned,Avg_Smoke_Impact
1971,404.11356694528206,14.752244898254517
1968,928.3786223570363,41.91639876290222
1974,166.3683671593928,4.472670903716088
1980,24778.945925625932,49.60731395431628
1977,2629.969755886574,97.51086316268557
1998,16296.438283450752,57.43234816745177
1992,24150.50891151563,98.75031999588562
1983,2860.2782596487023,45.70815452908111
1989,3498.1691179240283,50.343399724117994
1986,92496.18992741204,114.14197927729604
1995,6354.27036532538,48.30642351701439
2010,54430.21095245364,75.3100251422839
2007,111634.84748484883,80.2033937594883
2004,24696.21841582328,95.7713252989432
2013,49797.05274441256,71.22581261353763
2001,70979.09847376616,132.16936457217963
2016,73179.49197633256,57.67862374992861
2019,93177.26134156737,80.82999869913436
1966,45.21670527294597,2.042889439679901
1963,332.5720859531909,31.522867225686976
1978,1283.95587978218,37.78776155280623
1975,392.34123905830324,13.409574829567717
1972,70.00489651130981,5.925376919070837
1969,323.86262518134754,6.143683522926664
1981,991.6140070351935,16.938101347220027
1990,11332.919262636395,74.64998313954364
1993,5514.88705674026,42.667429557077924
1984,2126.975068033377,35.12584920958515
1996,2823.566723352348,33.489142943225524
1987,29283.613887182903,110.89306867715527
2005,30623.74672929859,70.36197673947086
2014,58417.025145754604,69.83259241195951
2008,115906.25580517383,83.4750498691922
1999,18826.385585219276,38.809482465347784
2002,24079.645370350347,85.8474365957913
2011,137389.5393745533,84.33407008802689
2020,52386.21171515688,71.09772146906106
2017,57357.954311633366,59.842865255495234
1961,151.68029597383227,4.903110842756195
1964,13.92594313900624,1.0
1967,573.3018998829768,51.06459462617101
1976,1020.7842023516556,30.268021102601363
1970,1339.6073092860154,50.324510040803276
1982,590.2303725625382,8.61881361314381
1973,233.3690525905253,4.464643071339707
1979,1226.4164754841788,28.619397732474624
1997,6066.0474272086,39.97408428437882
1994,39367.58212644017,52.068104371702034
1988,10497.71011065458,52.81072700292697
1985,5004.587759516909,77.01100750636454
1991,359629.43404960755,242.60175933120024
2009,70535.45957374125,81.45915830116226
2015,58283.885926559975,73.13707370110147
2000,84384.75468628359,122.61736427268679
2012,121271.58208020974,91.09196289548042
2006,32952.900212900284,80.812525958464
2003,20138.382788277624,58.387923670551665
2018,87626.61806443208,85.56783906499392
1962,2029.2718893266099,184.29545657601196
1965,54.22559818674143,2.8255304239151644
